,depth,id,remodel,unchanged,resorb,quad,bone_type,load,posi
158,15-20,AnteriorTrabecular_STD_45,22.284551999999998,73.4941455,4.22130225,Anterior,Trabecular,45,STD
159,15-20,PosteriorTrabecular_STD_45,7.67104825,77.4034625,14.92548925,Posterior,Trabecular,45,STD
160,15-20,MedialCortical_SUP_75,11.988722625000001,78.2787145,9.732562625,Medial,Cortical,75,SUP
161,15-20,LateralCortical_SUP_75,7.681843,23.151707875,69.166449125,Lateral,Cortical,75,SUP
162,15-20,AnteriorCortical_SUP_75,52.65948,47.292841625,0.047678375,Anterior,Cortical,75,SUP
163,15-20,PosteriorCortical_SUP_75,10.48904375,79.571648125,9.93930825,Posterior,Cortical,75,SUP
164,15-20,MedialCortical_SUP_45,12.926424,79.38096900000001,7.692606875,Medial,Cortical,45,SUP
165,15-20,LateralCortical_SUP_45,8.621257875000001,24.551006125,66.827736,Lateral,Cortical,45,SUP
166,15-20,AnteriorCortical_SUP_45,52.6036375,47.376264125,0.020098375,Anterior,Cortical,45,SUP
167,15-20,PosteriorCortical_SUP_45,1.6100269999999999,85.921705125,12.468267874999999,Posterior,Cortical,45,SUP
168,15-20,MedialTrabecular_SUP_75,46.19418925,46.815497,6.990313749999999,Medial,Trabecular,75,SUP
169,15-20,LateralTrabecular_SUP_75,14.903227125,68.009282375,17.087490375,Lateral,Trabecular,75,SUP
170,15-20,AnteriorTrabecular_SUP_75,51.193757875,45.969857250000004,2.836385,Anterior,Trabecular,75,SUP
171,15-20,PosteriorTrabecular_SUP_75,21.806685875,69.394938,8.798376375,Posterior,Trabecular,75,SUP
172,15-20,MedialTrabecular_SUP_45,45.380942375000004,47.426715875,7.19234175,Medial,Trabecular,45,SUP
173,15-20,LateralTrabecular_SUP_45,14.004236,68.95813725,17.037626749999998,Lateral,Trabecular,45,SUP
174,15-20,AnteriorTrabecular_SUP_45,53.7977415,43.460794625,2.741464,Anterior,Trabecular,45,SUP
175,15-20,PosteriorTrabecular_SUP_45,20.756065625,68.670970125,10.572964375,Posterior,Trabecular,45,SUP
176,15-20,MedialCortical_INF_75,32.83342125,59.779807125,7.386771375,Medial,Cortical,75,INF
177,15-20,LateralCortical_INF_75,5.521033,7.290282625,87.1886845,Lateral,Cortical,75,INF
178,15-20,AnteriorCortical_INF_75,64.58856975,34.88856575,0.5228645000000001,Anterior,Cortical,75,INF
179,15-20,PosteriorCortical_INF_75,36.768151125,26.08883325,37.143015749999996,Posterior,Cortical,75,INF
180,15-20,MedialCortical_INF_45,34.491588,60.331818874999996,5.176592875,Medial,Cortical,45,INF
181,15-20,LateralCortical_INF_45,5.08606675,8.3711425,86.54279075,Lateral,Cortical,45,INF
182,15-20,AnteriorCortical_INF_45,66.092040625,33.649428125,0.25853125,Anterior,Cortical,45,INF
183,15-20,PosteriorCortical_INF_45,30.987465,29.331807875000003,39.680727,Posterior,Cortical,45,INF
184,15-20,MedialTrabecular_INF_75,77.763386,19.23455175,3.002062,Medial,Trabecular,75,INF
185,15-20,LateralTrabecular_INF_75,17.590487125,21.926953124999997,60.482559625,Lateral,Trabecular,75,INF
186,15-20,AnteriorTrabecular_INF_75,50.46822775,38.3570275,11.174745,Anterior,Trabecular,75,INF
187,15-20,PosteriorTrabecular_INF_75,32.247910375000004,39.306112999999996,28.445976625,Posterior,Trabecular,75,INF
188,15-20,MedialTrabecular_INF_45,75.4071035,21.07663,3.5162665,Medial,Trabecular,45,INF
189,15-20,LateralTrabecular_INF_45,17.041119000000002,24.6871205,58.27176025,Lateral,Trabecular,45,INF
190,15-20,AnteriorTrabecular_INF_45,50.29426975,39.911900625,9.793829375,Anterior,Trabecular,45,INF
191,15-20,PosteriorTrabecular_INF_45,32.36443725,39.64004025,27.995522625,Posterior,Trabecular,45,INF
192,20-25,MedialCortical_STD_75,7.0705884999999995,92.9294115,0.0,Medial,Cortical,75,STD
193,20-25,LateralCortical_STD_75,2.452367125,63.227088375,34.3205445,Lateral,Cortical,75,STD
194,20-25,AnteriorCortical_STD_75,11.64428875,88.3385065,0.01720475,Anterior,Cortical,75,STD
195,20-25,PosteriorCortical_STD_75,7.083033125,92.899426375,0.0175405,Posterior,Cortical,75,STD
196,20-25,MedialCortical_STD_45,7.1426693750000005,92.857330625,0.0,Medial,Cortical,45,STD
197,20-25,LateralCortical_STD_45,1.6038955,60.5099475,37.886157,Lateral,Cortical,45,STD
198,20-25,AnteriorCortical_STD_45,12.842220874999999,87.140574375,0.01720475,Anterior,Cortical,45,STD
199,20-25,PosteriorCortical_STD_45,1.7611047499999999,98.1704895,0.06840575,Posterior,Cortical,45,STD
200,20-25,MedialTrabecular_STD_75,60.27203525,34.303121250000004,5.424843625,Medial,Trabecular,75,STD
201,20-25,LateralTrabecular_STD_75,8.139354875,86.52627425,5.334371,Lateral,Trabecular,75,STD
202,20-25,AnteriorTrabecular_STD_75,29.847515875,66.63951912499999,3.5129648749999998,Anterior,Trabecular,75,STD
203,20-25,PosteriorTrabecular_STD_75,6.1230731249999995,84.268808,9.608118875,Posterior,Trabecular,75,STD
204,20-25,MedialTrabecular_STD_45,57.007342375,37.17390375,5.818754,Medial,Trabecular,45,STD
205,20-25,LateralTrabecular_STD_45,10.07894175,82.7783965,7.142661875,Lateral,Trabecular,45,STD
206,20-25,AnteriorTrabecular_STD_45,31.39458975,65.07328875,3.5321215,Anterior,Trabecular,45,STD
207,20-25,PosteriorTrabecular_STD_45,5.337143375,85.159372875,9.503483875,Posterior,Trabecular,45,STD
208,20-25,MedialCortical_SUP_75,8.317898125,89.44982675,2.23227525,Medial,Cortical,75,SUP
209,20-25,LateralCortical_SUP_75,5.26223,48.301949875,46.43582,Lateral,Cortical,75,SUP
210,20-25,AnteriorCortical_SUP_75,31.46186775,68.512977,0.02515525,Anterior,Cortical,75,SUP
211,20-25,PosteriorCortical_SUP_75,5.606228625,94.393771375,0.0,Posterior,Cortical,75,SUP
212,20-25,MedialCortical_SUP_45,8.068887,90.10359775,1.8275151250000001,Medial,Cortical,45,SUP
213,20-25,LateralCortical_SUP_45,5.567486625,49.69741975,44.73509375,Lateral,Cortical,45,SUP
214,20-25,AnteriorCortical_SUP_45,32.341828625,67.633016125,0.02515525,Anterior,Cortical,45,SUP
215,20-25,PosteriorCortical_SUP_45,0.0,97.766338875,2.233661125,Posterior,Cortical,45,SUP
216,20-25,MedialTrabecular_SUP_75,45.4231425,46.757038875,7.819818625,Medial,Trabecular,75,SUP
217,20-25,LateralTrabecular_SUP_75,24.6891375,68.417864375,6.892998125,Lateral,Trabecular,75,SUP
218,20-25,AnteriorTrabecular_SUP_75,48.978600125,48.393128625,2.628271125,Anterior,Trabecular,75,SUP
219,20-25,PosteriorTrabecular_SUP_75,19.00758125,76.485986,4.506432875,Posterior,Trabecular,75,SUP
220,20-25,MedialTrabecular_SUP_45,43.516355125000004,48.411008125,8.0726365,Medial,Trabecular,45,SUP
221,20-25,LateralTrabecular_SUP_45,25.3056675,67.16909875,7.525233875,Lateral,Trabecular,45,SUP
222,20-25,AnteriorTrabecular_SUP_45,50.459612750000005,46.659289125,2.881098125,Anterior,Trabecular,45,SUP
223,20-25,PosteriorTrabecular_SUP_45,19.108093375,76.155580625,4.736325625,Posterior,Trabecular,45,SUP
224,20-25,MedialCortical_INF_75,17.382500125,80.83603225,1.78146775,Medial,Cortical,75,INF
225,20-25,LateralCortical_INF_75,4.411789,16.4706645,79.117546375,Lateral,Cortical,75,INF
226,20-25,AnteriorCortical_INF_75,37.6693335,61.483319875,0.8473466249999999,Anterior,Cortical,75,INF
227,20-25,PosteriorCortical_INF_75,41.976616,44.423064625,13.600319375,Posterior,Cortical,75,INF
228,20-25,MedialCortical_INF_45,18.950534625,79.20040525,1.849060125,Medial,Cortical,45,INF
229,20-25,LateralCortical_INF_45,3.7652145,15.894847375,80.339938125,Lateral,Cortical,45,INF
230,20-25,AnteriorCortical_INF_45,43.324256,55.922193375,0.75355075,Anterior,Cortical,45,INF
231,20-25,PosteriorCortical_INF_45,33.58258125,50.637974625,15.77944425,Posterior,Cortical,45,INF
232,20-25,MedialTrabecular_INF_75,81.030415125,17.80359975,1.165985,Medial,Trabecular,75,INF
233,20-25,LateralTrabecular_INF_75,34.288719625,29.494545875,36.216734375,Lateral,Trabecular,75,INF
234,20-25,AnteriorTrabecular_INF_75,64.3581765,33.161972125,2.4798516250000002,Anterior,Trabecular,75,INF
235,20-25,PosteriorTrabecular_INF_75,29.94534375,57.81478375,12.23987225,Posterior,Trabecular,75,INF
236,20-25,MedialTrabecular_INF_45,77.83791925,20.461147375,1.7009334999999999,Medial,Trabecular,45,INF
237,20-25,LateralTrabecular_INF_45,34.66561625,31.466363375,33.868020125,Lateral,Trabecular,45,INF
238,20-25,AnteriorTrabecular_INF_45,63.451711124999996,34.38573325,2.16255575,Anterior,Trabecular,45,INF
239,20-25,PosteriorTrabecular_INF_45,29.99811475,58.68357475,11.318310625,Posterior,Trabecular,45,INF
240,25-30,MedialCortical_STD_75,0.16698325,99.83301675,0.0,Medial,Cortical,75,STD
241,25-30,LateralCortical_STD_75,0.0,95.595806,4.4041939999999995,Lateral,Cortical,75,STD
242,25-30,AnteriorCortical_STD_75,3.11549925,96.88450075,0.0,Anterior,Cortical,75,STD
243,25-30,PosteriorCortical_STD_75,0.34797425,99.65202575,0.0,Posterior,Cortical,75,STD
244,25-30,MedialCortical_STD_45,1.466788,98.533212,0.0,Medial,Cortical,45,STD
245,25-30,LateralCortical_STD_45,0.049297625,93.494173375,6.456529,Lateral,Cortical,45,STD
246,25-30,AnteriorCortical_STD_45,4.451780875,95.548219125,0.0,Anterior,Cortical,45,STD
247,25-30,PosteriorCortical_STD_45,0.031426375,99.968573625,0.0,Posterior,Cortical,45,STD
248,25-30,MedialTrabecular_STD_75,58.350627375,38.220774125,3.428598875,Medial,Trabecular,75,STD
249,25-30,LateralTrabecular_STD_75,13.176138625,85.26954625,1.55431475,Lateral,Trabecular,75,STD
250,25-30,AnteriorTrabecular_STD_75,47.662386,51.68134275,0.65627125,Anterior,Trabecular,75,STD
251,25-30,PosteriorTrabecular_STD_75,7.366788625,83.108839125,9.524372125,Posterior,Trabecular,75,STD
252,25-30,MedialTrabecular_STD_45,54.694811125,41.424636625,3.88055225,Medial,Trabecular,45,STD
253,25-30,LateralTrabecular_STD_45,16.36931275,81.80515575,1.825531375,Lateral,Trabecular,45,STD
